DATETIME,Distance,Power,Liter,V1,V2,X,Y,Phase,Phase_compressed,Production
"2021-03-31 07:00:06",20.0625,3248.79,0,0,0,8.79988,2.60123,20,4,0
"2021-03-31 07:00:07",20.0625,3263.61,0,0,0,9.3089,2.91208,20,4,0
"2021-03-31 07:00:08",20.0625,3267.51,0,0,0,9.94401,2.83629,20,4,0
"2021-03-31 07:00:10",20.0625,3256.98,0,0,0,7.9184,1.86514,20,4,0
"2021-03-31 07:00:12",20.0625,3254.64,0,0,0,4.85974,1.59523,20,4,0
"2021-03-31 07:00:14",20.0625,3260.49,0,0,0,3.71065,1.85184,20,4,0
"2021-03-31 07:00:17",20.0625,3256.98,0,0,0,3.20546,1.84271,20,4,0
"2021-03-31 07:00:18",20.0625,3246.84,0,0,0,3.14027,1.68055,20,4,0
"2021-03-31 07:00:19",20.0625,3259.32,0,0,0,3.11091,1.63206,20,4,0
"2021-03-31 07:00:20",20.0625,3259.71,0,0,0,3.10151,1.6424,20,4,0
"2021-03-31 07:00:21",20.0625,3249.96,0,0,0,3.12462,1.71172,20,4,0
"2021-03-31 07:00:23",20.0625,3282.72,0,0,0,3.13676,1.67888,20,4,0
"2021-03-31 07:00:31",20.0625,3274.53,0,0,0,4.68011,1.4375,20,4,0
"2021-03-31 07:00:33",20.0625,3273.36,0,0,0,6.27645,2.15562,20,4,0
"2021-03-31 07:00:42",20.0625,3272.19,0,0,0,7.46462,1.71939,20,4,0
"2021-03-31 07:00:43",20.0625,3271.02,0,0,0,7.45187,1.51676,20,4,0
"2021-03-31 07:00:44",20.0625,3283.89,0,0,0,7.4863,1.37467,20,4,0
"2021-03-31 07:00:45",20.0625,3276.87,0,0,0,7.54945,1.53267,20,4,0
"2021-03-31 07:00:47",20.0625,3262.83,0,0,0,7.26352,0.795136,20,4,0
"2021-03-31 07:00:48",20.0625,3264.78,0,0,0,7.22061,0.897026,20,4,0
"2021-03-31 07:00:49",20.0625,3261.66,0,0,0,7.21592,1.18642,20,4,0
