cycle_time,duration_cam,duration_end,wait,fork_light_barrier,acc_sensor,motor_temp,Lego_check,width_Lego,length_Lego,horizontal_distance,vertical_distance,failure_mode
00:00:05,00:00:02,00:00:03,00:24:33,1,2.6404,27.5511,1,163.47,246.4,-0.027064,0,Machine_Downtime_Long
00:00:02,00:00:02,00:00:00,00:00:03,1,2.6577,28.124,1,163.54,246.59,0.023119,-0.36194,Normalfall
00:00:02,00:00:02,00:00:00,00:03:24,1,2.6391,27.8486,1,163.81,246.4,0.026336,-0.37609,Waiting_Time
00:00:03,00:00:03,00:00:00,00:00:00,1,2.6394,28.5426,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:02,00:00:00,00:00:24,1,2.6381,29.1926,0,0,0,0,-0.28538,Machine_Downtime_Short
00:00:02,00:00:01,00:00:01,00:20:25,1,2.6577,28.4435,1,163.99,246.8,-0.038001,-0.3629,Unplanned_Maintenance
00:00:03,00:00:03,00:00:00,00:00:00,1,2.6381,28.0689,0,0,0,0,0,Fallen_Lego
00:00:03,00:00:03,00:00:00,00:00:00,1,2.6474,28.113,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:02,00:00:00,00:00:27,1,2.6358,29.0714,0,0,0,0,-0.25031,Machine_Downtime_Short
00:00:04,00:00:04,00:00:00,00:00:03,1,2.6529,28.8401,1,162.95,246.44,0.025049,-0.02063,Blocked_Lego
00:00:05,00:00:05,00:00:00,00:00:03,1,2.6426,25.7444,1,163.92,246.38,0.025049,-0.37706,Blocked_Lego
00:00:02,00:00:01,00:00:01,00:19:28,1,2.6429,29.0824,1,164.16,246.56,0.026014,-0.38253,Unplanned_Maintenance
00:00:02,00:00:01,00:00:01,00:00:03,1,2.6429,28.3774,1,163.9,246.62,0.026336,-0.026099,Normalfall
00:00:07,00:00:06,00:00:01,00:00:02,1,2.6404,29.2367,1,164.04,246.45,-0.02063,-0.33781,Blocked_Lego
00:00:02,00:00:02,00:00:00,00:19:21,1,2.6326,27.9697,1,163.21,246.24,-0.033498,-0.34457,Unplanned_Maintenance
00:00:03,00:00:02,00:00:01,00:00:04,1,2.6426,24.4885,1,163.98,246.96,-0.047974,-0.38606,Reduced_Motorspeed
00:00:02,00:00:02,00:00:00,00:17:03,1,2.6278,29.1375,0,0,0,0,-0.26286,Machine_Downtime_Long
00:00:04,00:00:03,00:00:01,00:00:03,1,2.649,28.7519,1,163.23,246.26,-0.013232,-0.37255,Blocked_Lego
00:00:02,00:00:02,00:00:00,00:22:27,1,2.6381,29.2807,1,163.43,246.39,-0.028351,-0.014518,Unplanned_Maintenance
00:00:02,00:00:01,00:00:01,00:01:31,1,2.6484,27.0774,1,163.71,246.47,0.020867,-0.021917,Waiting_Time
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6384,27.9367,1,163.14,246.52,0.026336,-0.02063,Reduced_Motorspeed
00:00:03,00:00:03,00:00:00,00:00:03,1,2.6394,27.5291,1,163.5,246.56,0.05207,-0.34103,Blocked_Lego
00:00:02,00:00:02,00:00:00,00:00:03,1,2.6487,28.9833,1,164.18,246.49,0.022797,-0.3436,Normalfall
00:00:02,00:00:02,00:00:00,00:02:58,1,2.6371,28.7519,1,163.31,246.18,0.022475,-0.35583,Waiting_Time
00:00:02,00:00:01,00:00:01,00:24:13,1,2.6561,27.5621,1,163.57,246.33,0.023119,-0.37481,Unplanned_Maintenance
00:00:05,00:00:05,00:00:00,00:00:03,1,2.6497,28.7629,1,163.62,246.53,-0.029316,-0.028673,Blocked_Lego
00:00:02,00:00:01,00:00:01,00:03:11,1,2.6487,27.0113,1,163.77,246.43,-0.036393,-0.36612,Waiting_Time
00:00:04,00:00:03,00:00:01,00:00:02,1,2.65,27.7604,1,163.75,246.66,-0.10974,-0.36902,Blocked_Lego
00:00:02,00:00:01,00:00:01,00:00:02,1,2.6548,27.0774,1,164.01,246.79,-0.034785,-0.38574,Normalfall
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6471,25.0503,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:01,00:00:01,00:00:55,1,2.6471,27.6392,1,163.26,246.68,0.025049,-0.36805,Waiting_Time
00:00:02,00:00:02,00:00:00,00:02:59,1,2.6539,26.2952,0,0,0,0,-0.2857,Machine_Downtime_Short
00:00:05,00:00:02,00:00:03,00:00:36,1,2.6461,28.0138,1,163.62,246.45,-0.088506,0,Machine_Downtime_Short
00:00:01,00:00:01,00:00:00,00:00:03,1,2.6452,28.3994,1,163.34,246.5,-0.028351,-0.39025,Normalfall
00:00:03,00:00:03,00:00:00,00:00:03,1,2.6494,26.141,1,163.3,246.65,0.029874,-0.37867,Blocked_Lego
00:00:04,00:00:03,00:00:01,00:00:02,1,2.6391,26.8571,1,163.36,246.43,-0.044757,-0.35036,Blocked_Lego
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6497,25.3698,0,0,0,0,0,Fallen_Lego
00:00:04,00:00:03,00:00:01,00:00:03,1,2.6358,26.9011,1,163.42,246.69,0.024405,-0.34907,Blocked_Lego
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6439,28.6968,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:02,00:00:00,00:02:02,1,2.6439,23.6292,0,0,0,0,-0.2783,Machine_Downtime_Short
00:00:02,00:00:02,00:00:00,00:07:19,1,2.6587,23.2767,1,163.88,246.61,-0.039932,-0.031889,Unplanned_Maintenance
00:00:02,00:00:01,00:00:01,00:02:55,1,2.6423,27.6282,1,163.46,246.55,-0.029316,-0.37127,Waiting_Time
00:00:05,00:00:01,00:00:04,00:01:55,1,2.6468,27.0113,1,163.79,246.28,-0.029316,0,Machine_Downtime_Short
00:00:09,00:00:09,00:00:00,00:00:03,1,2.6259,28.4655,1,163.38,246.21,-0.028673,-0.0187,Blocked_Lego
00:00:02,00:00:01,00:00:01,00:00:02,1,2.6375,22.7368,1,163.92,246.32,0.015398,-0.34875,Normalfall
00:00:03,00:00:03,00:00:00,00:00:00,1,2.6654,28.0799,0,0,0,0,0,Fallen_Lego
00:00:01,00:00:01,00:00:00,00:00:03,1,2.6449,28.3663,1,163.55,246.52,0.024084,-0.35486,Normalfall
00:00:04,00:00:04,00:00:00,00:00:00,1,2.668,26.4715,0,0,0,0,0,Fallen_Lego
00:00:05,00:00:05,00:00:00,00:00:03,1,2.6555,26.0859,1,163.25,246.3,0.022797,-0.37255,Blocked_Lego
00:00:02,00:00:01,00:00:01,00:04:29,1,2.6539,28.0358,1,163.73,246.63,0.026336,-0.36516,Waiting_Time
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6416,27.7274,1,163.22,246.24,-0.041862,-0.36869,Reduced_Motorspeed
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6442,27.6723,1,163.37,246.57,-0.027708,-0.34167,Reduced_Motorspeed
00:00:03,00:00:03,00:00:00,00:00:03,1,2.6523,26.3393,1,163.64,246.37,-0.03768,-0.02063,Blocked_Lego
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6442,27.2977,1,163.75,246.6,0.029552,-0.36065,Reduced_Motorspeed
00:00:06,00:00:05,00:00:01,00:00:03,1,2.6407,25.6122,1,163.57,246.25,-0.032854,-0.3896,Blocked_Lego
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6436,26.813,1,163.49,246.57,0.026336,-0.38671,Reduced_Motorspeed
00:00:03,00:00:03,00:00:00,00:00:00,1,2.6484,27.8596,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:02,00:00:00,00:00:03,1,2.6342,27.5181,1,163.67,246.32,0.021189,-0.35004,Normalfall
00:00:02,00:00:01,00:00:01,00:00:03,1,2.6658,28.8841,1,164.39,246.5,-0.033176,-0.023526,Normalfall
00:00:05,00:00:04,00:00:01,00:00:02,1,2.6429,27.9036,1,163.22,246.44,0.026657,-0.3851,Blocked_Lego
00:00:02,00:00:01,00:00:01,00:19:03,1,2.6542,24.0258,1,163.62,246.64,0.022475,-0.34746,Unplanned_Maintenance
00:00:02,00:00:02,00:00:00,00:23:49,1,2.6291,25.0724,1,163.6,246.74,0.020224,-0.3465,Unplanned_Maintenance
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6436,26.2842,0,0,0,0,0,Fallen_Lego
00:00:04,00:00:01,00:00:03,00:01:34,1,2.6342,27.9477,1,163.25,246.37,0.021832,0,Machine_Downtime_Short
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6455,26.9452,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:02,00:00:00,00:17:40,1,2.6587,28.3994,0,0,0,0,-0.28602,Machine_Downtime_Long
00:00:02,00:00:02,00:00:00,00:00:03,1,2.6523,26.4494,1,163.29,246.44,-0.037036,-0.035428,Normalfall
00:00:02,00:00:01,00:00:01,00:00:03,1,2.6616,29.0163,1,163.31,246.33,-0.028673,-0.3555,Normalfall
00:00:02,00:00:02,00:00:00,00:17:54,1,2.6336,28.9172,0,0,0,0,-0.31336,Machine_Downtime_Long
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6455,27.485,1,163.59,246.6,0.025692,-0.018379,Reduced_Motorspeed
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6455,27.7053,1,163.38,246.29,-0.029638,-0.35969,Reduced_Motorspeed
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6436,27.7053,0,0,0,0,0,Fallen_Lego
00:00:07,00:00:06,00:00:01,00:00:02,1,2.6426,26.2952,1,163.75,246.05,0.022475,-0.36998,Blocked_Lego
00:00:02,00:00:02,00:00:00,00:02:23,1,2.6619,28.6307,0,0,0,0,-0.25578,Machine_Downtime_Short
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6484,27.3638,0,0,0,0,0,Fallen_Lego
00:00:03,00:00:02,00:00:01,00:00:03,1,2.659,27.4299,1,163.93,246.55,-0.078855,-0.35036,Blocked_Lego
00:00:02,00:00:02,00:00:00,00:00:03,1,2.623,27.9257,1,163.46,246.25,0.021832,-0.3703,Normalfall
00:00:05,00:00:01,00:00:04,00:23:46,1,2.6391,27.9587,1,163.38,246.37,-0.080786,0,Machine_Downtime_Long
00:00:02,00:00:02,00:00:00,00:07:09,1,2.6658,25.8766,0,0,0,0,-0.31722,Machine_Downtime_Long
00:00:02,00:00:01,00:00:01,00:10:06,1,2.6484,26.9121,1,163.37,246.63,0.022475,-0.35004,Unplanned_Maintenance
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6458,26.2842,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:01,00:00:01,00:13:45,1,2.6455,27.7935,1,163.94,246.62,-0.034141,-0.34425,Unplanned_Maintenance
00:00:02,00:00:02,00:00:00,00:07:44,1,2.6391,28.0138,1,163.85,246.63,0.022797,-0.023847,Unplanned_Maintenance
00:00:04,00:00:03,00:00:01,00:00:02,1,2.6523,27.5952,1,162.96,246.33,-0.025777,-0.020309,Blocked_Lego
00:00:02,00:00:01,00:00:01,00:03:05,1,2.6352,28.6638,1,163.53,246.72,-0.028351,-0.39057,Waiting_Time
00:00:02,00:00:01,00:00:01,00:00:02,1,2.6584,28.6748,1,163.9,246.3,-0.027064,-0.024169,Normalfall
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6494,24.9181,0,0,0,0,0,Fallen_Lego
00:00:04,00:00:01,00:00:03,00:02:40,1,2.641,27.3528,1,163.59,246.24,-0.031889,0,Machine_Downtime_Short
00:00:05,00:00:01,00:00:04,00:03:48,1,2.6529,27.7604,1,162.97,246.5,-0.028673,0,Machine_Downtime_Short
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6429,27.2757,1,163.78,246.75,-0.032533,-0.34425,Reduced_Motorspeed
00:00:02,00:00:01,00:00:01,00:01:12,1,2.6497,23.8716,1,163.26,246.7,-0.033176,-0.36355,Waiting_Time
00:00:02,00:00:02,00:00:00,00:14:06,1,2.6477,26.1961,0,0,0,0,-0.32913,Machine_Downtime_Long
00:00:02,00:00:01,00:00:01,00:29:32,1,2.6465,28.157,1,163.58,246.47,-0.034463,-0.36516,Unplanned_Maintenance
00:00:05,00:00:01,00:00:04,00:18:30,1,2.6452,27.5842,1,163.63,246.35,-0.030281,0,Machine_Downtime_Long
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6407,27.9367,1,163.82,246.69,-0.027064,-0.0187,Reduced_Motorspeed
00:00:02,00:00:01,00:00:01,00:03:57,1,2.6532,27.4409,1,163.75,246.45,-0.081751,-0.35743,Waiting_Time
00:00:05,00:00:01,00:00:04,00:01:19,1,2.6603,27.5181,1,163.13,246.79,-0.025456,0,Machine_Downtime_Short
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6352,25.2597,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:01,00:00:01,00:01:39,1,2.6313,28.4655,1,163.54,246.48,0.024405,-0.026421,Waiting_Time
00:00:02,00:00:01,00:00:01,00:00:03,1,2.6397,27.0443,1,163.21,246.29,-0.036715,-0.021917,Normalfall
00:00:04,00:00:01,00:00:03,00:11:28,1,2.6503,27.6723,1,163.37,246.48,-0.028029,0,Machine_Downtime_Long
00:00:02,00:00:02,00:00:00,00:00:03,1,2.6413,27.9477,1,163.36,246.66,-0.090436,-0.3851,Normalfall
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6349,27.0333,1,163.99,246.58,-0.045722,-0.35583,Reduced_Motorspeed
00:00:05,00:00:04,00:00:01,00:00:03,1,2.6378,27.8155,1,163.52,246.26,-0.031889,-0.39218,Blocked_Lego
00:00:02,00:00:02,00:00:00,00:17:59,1,2.6352,26.6367,0,0,0,0,-0.3436,Machine_Downtime_Long
00:00:05,00:00:05,00:00:00,00:00:04,1,2.6516,26.0308,1,163.66,246.72,-0.029638,-0.35325,Blocked_Lego
00:00:02,00:00:02,00:00:00,00:00:48,1,2.6577,26.6147,0,0,0,0,-0.27862,Machine_Downtime_Short
00:00:02,00:00:01,00:00:01,00:26:58,1,2.6513,28.5646,1,163.97,246.52,-0.037358,-0.020309,Unplanned_Maintenance
00:00:02,00:00:01,00:00:01,00:00:02,1,2.6313,28.4655,1,163.54,246.48,0.024405,-0.026421,Normalfall
00:00:02,00:00:02,00:00:00,00:01:46,1,2.6442,26.152,0,0,0,0,-0.32623,Machine_Downtime_Short
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6429,27.1325,1,163.37,246.61,0.024405,-0.35647,Reduced_Motorspeed
00:00:02,00:00:02,00:00:00,00:00:03,1,2.658,28.3663,1,163.1,246.47,-0.032211,-0.3584,Normalfall
00:00:04,00:00:01,00:00:03,00:01:54,1,2.6519,27.9257,1,163.47,246.71,-0.030603,0,Machine_Downtime_Short
00:00:02,00:00:01,00:00:01,00:06:45,1,2.6342,26.5486,1,163.76,246.36,-0.034141,-0.34714,Unplanned_Maintenance
00:00:03,00:00:03,00:00:00,00:00:00,1,2.6455,25.7444,0,0,0,0,0,Fallen_Lego
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6461,28.1791,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:02,00:00:00,00:04:48,1,2.6487,28.9833,1,164.18,246.49,0.022797,-0.3436,Waiting_Time
00:00:05,00:00:01,00:00:04,00:21:11,1,2.6452,27.5731,1,163.17,246.64,-0.11681,0,Machine_Downtime_Long
00:00:04,00:00:04,00:00:00,00:00:03,1,2.6407,28.5646,1,163.36,246.4,-0.028029,-0.37802,Blocked_Lego
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6516,28.2011,1,163.03,246.1,0.023119,-0.020309,Reduced_Motorspeed
00:00:02,00:00:02,00:00:00,00:03:19,1,2.6526,23.8605,0,0,0,0,-0.28313,Machine_Downtime_Short
00:00:01,00:00:01,00:00:00,00:01:59,1,2.6471,24.7309,1,163.27,246.35,-0.025777,-0.37255,Waiting_Time
00:00:05,00:00:01,00:00:04,00:00:57,1,2.6387,27.485,1,163.45,246.61,-0.020952,0,Machine_Downtime_Short
00:00:02,00:00:02,00:00:00,00:00:34,1,2.6455,28.9943,0,0,0,0,-0.31948,Machine_Downtime_Short
00:00:02,00:00:02,00:00:00,00:04:27,1,2.6404,26.4825,0,0,0,0,-0.34264,Machine_Downtime_Short
00:00:04,00:00:01,00:00:03,00:10:34,1,2.642,28.0799,1,163.18,246.42,0.026336,0,Machine_Downtime_Long
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6452,26.7689,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:01,00:00:01,00:17:26,1,2.6313,28.4545,1,163.66,246.78,-0.028029,-0.017414,Unplanned_Maintenance
00:00:02,00:00:02,00:00:00,00:04:56,1,2.6532,26.6808,0,0,0,0,-0.2828,Machine_Downtime_Short
00:00:02,00:00:01,00:00:01,00:02:28,1,2.6397,28.5206,1,163.57,246.47,-0.025456,-0.35969,Waiting_Time
00:00:02,00:00:02,00:00:00,00:01:07,1,2.6461,24.5215,1,163.49,246.6,-0.040897,-0.35583,Waiting_Time
00:00:01,00:00:01,00:00:00,00:08:13,1,2.6497,26.4494,0,0,0,0,-0.28988,Machine_Downtime_Long
