y
2.4
2.2
2.2
3.1
3.1
2.6
1.6
2.4
4.2
3.8
1.7
0.9
0.7
0.7
0.8
0.7
0.9
1.1
1.1
1.6
3.2
4.8
5.8
3.6
2.7
1.8
2.7
2.1
1.9
1.8
1.5
1.4
2.2
3.3
5.1
6.6
6.1
8.5
6
3.6
2.1
1.26
3.37
0.8
1.88
2.52
3.46
3.83
4.58
6.55
4.02
6.82
3.93
2.16
2.27
3.09
3.74
3.65
3.46
2.52
3.46
3.65
2.34
2.71
3.93
9
4.21
6.73
2.99
1.05
3.27
4.21
2.34
3.93
2.71
6.27
1.6
1.74
1.12
1.53
5.42
4.4
2.99
3.18
1.88
1.64
2.71
4.68
3.37
2.71
4.02
4.68
4.21
2.99
2.9
4.86
7.36
6.36
2.81
2.02
2.81
3.09
4.96
5.05
5.42
7.01
11.22
6.73
3.37
8.79
6.36
6.92
2.86
4.88
5.58
4.11
5.58
3.7
9.73
10.29
9.73
8.42
5.99
4.86
1.88
3.14
5.8
5.05
4.74
5.02
5.65
6.17
11.04
7.67
10.29
11.97
8.42
8.79
4.74
4.46
3.91
5.05
5.99
16.65
8.04
6.92
7.67
8.23
5.61
10.66
12.72
14.03
6.55
5.42
5.42
6.55
8.42
12.53
11.22
11.22
15.27
15.82
20.73
15.27
12.91
10.1
10.29
14.4
14.4
12.34
8.98
7.11
12.91
13.84
11.97
14.96
18
9.35
15.71
28.91
14.78
10.29
9.73
7.29
8.98
10.1
15.15
16.65
17.58
17.21
16.83
20.18
8.98
13.47
16.27
15.71
16.46
11.22
8.04
8.23
6.73
10.47
15.34
14.03
11.41
11.41
1.03
20.18
19.09
21.82
18.55
8.42
8.42
8.42
27.27
13.09
10.47
9.91
8.42
11.41
11.41
17.96
19.09
20.73
36.55
29.46
17.36
9.91
8.98
16.91
14.21
11.04
11.97
12.72
16.83
17.45
21.82
22.36
20.73
11.04
8.23
8.04
9
10
11.97
15.82
12.53
13.28
13.84
15.34
15.82
19.64
24
26.73
14.03
12.91
13.28
17.02
12.16
12.53
11.6
7.67
10.1
14.21
14.03
10.29
11.97
14.78
5.61
5.99
6.21
8.23
8.42
7.29
6.73
5.8
10.47
9.91
11.04
9.35
7.86
10.47
10.1
11.6
3.35
7.29
7.29
5.8
8.6
10.85
10.85
7.67
8.98
10.47
11.41
9.16
11.6
2.23
6.92
5.8
5.09
6.73
7.48
8.23
7.48
5.42
5.05
4.3
6.73
6.55
8.04
8.79
2.93
4.32
3.77
3.35
4.04
5.05
7.48
8.23
3.93
6.73
2.02
6.73
6.36
8.6
3.28
3.14
2.72
2.79
2.79
6.92
14.21
14.59
8.23
3.37
5.99
2.93
1.95
2.16
3.21
2.79
1.67
1.88
2.65
2.09
5.65
5.8
9.91
2.74
1.24
1.08
1.24
1.32
1.24
1.32
1.2
1.65
1.87
2.09
2.51
2.93
5.51
9.16
5.44
6.41
1.99
1.77
2.48
3.98
3.65
1.71
2.39
3.8
4.77
3.88
2.98
3.35
2.09
1.88
1.44
1.96
2.46
1.79
1.86
1.63
1.55
1.57
5.59
4.4
4.55
5.67
5.52
5.14
2.08
3.28
2.01
1.79
1.94
2.09
2.83
3.43
3.21
5.44
2.68
2.98
4.17
4.55
0.88
0.72
0.64
0.58
0.66
0.66
0.66
0.77
1.59
1.88
2.3
2.06
2.18
3.24
4
2.83
1.59
1.47
1.59
1.77
3.53
1.94
1.71
1.47
0.84
1.47
2.77
4.61
2.92
3.38
3.18
2.92
2.36
2.24
4.61
5.07
3.23
3.53
2.06
1.77
1.83
2
4
4
2.92
1.47
2.5
3.53
3.38
5.22
5.22
3.69
4
2.77
2.36
4.15
3.53
3.07
2.18
2.12
2.94
3.83
5.84
5.07
3.84
3.69
4.3
5.38
6.45
3.53
5.99
2
3.53
4.15
4.15
5.22
5.38
5.84
4.76
4.92
5.38
6.45
7.68
7.38
4.46
7.84
6.92
